time,sim_impulse_response
                6560,      0
                6720,    314
                6880,  -2115
                7040,  -5743
                7200,  -6936
                7360,   -719
                7520,  15367
                7680,  37897
                7840,  57966
                8000,  66023
                8160,  57966
                8320,  37897
                8480,  15367
                8640,   -719
                8800,  -6936
                8960,  -5743
                9120,  -2115
                9280,    314
                9440,    314
                9600,    314
                9760,    314
                9920,    314
